id,img,caption
0,http://assets.myntassets.com/assets/images/17048614/2022/2/4/b0eb9426-adf2-4802-a6b3-5dbacbc5f2511643971561167KhushalKWomenBlackEthnicMotifsAngrakhaBeadsandStonesKurtawit7.jpg,"This stunning ensemble features a beautiful black Anarkali kurta in viscose rayon fabric with intricate ethnic motifs, screen-printed for a captivating look. The kurta showcases a flared hemline and a mandarin collar, complemented by three-quarter regular sleeves that add an elegant touch. Paired with slip-on printed palazzos of the same fabric, this festive outfit exudes an Indie Prints main trend. The look is completed with a matching viscose rayon dupatta that has a solid border and is adorned with ethnic motif prints, making it a perfect choice for festive occasions. The elasticated waistband ensures comfort, while the machine wash care and ready-to-wear stitch emphasize convenience. This ensemble blends traditional aesthetics with contemporary style effortlessly."
1,http://assets.myntassets.com/assets/images/16524740/2021/12/29/17ab2ac8-2e60-422d-9d20-2527415932361640754214931-STRAPPY-SET-IN-ORANGE-WITH-ORGANZA-DUPATTA-5961640754214349-2.jpg,"This fashionable ensemble exudes a fusion of traditional elegance and modern style. Featuring a calf-length A-line kurta crafted from soft viscose rayon, it boasts a solid hue with a flared hemline and a chic square neck. Complementing the kurta are matching palazzos secured with a zip closure and designed from viscose rayon for a comfortable fit. The sleeveless top with shoulder straps adds a casual yet sophisticated touch. Elevating the outfit is an organza dupatta adorned with a vibrant printed border, creating a striking contrast. Ideal for fusion occasions, this ready-to-wear piece offers a blend of comfort and style. Hand wash care ensures it maintains its charm, while the elasticated waistband provides ease of wear."
2,http://assets.myntassets.com/assets/images/16331376/2021/12/2/b8c4f90f-683c-48d2-b8ac-19891a87c0651638428628378KurtaSets1.jpg,"This elegant ensemble features an exquisite printed kurta set crafted from luxurious viscose rayon fabric. The A-line kurta showcases a sophisticated round neck and three-quarter sleeves with intricate thread work, embodying traditional ethnic motifs. Its flared hemline beautifully complements the above-knee length, creating a flowy and graceful silhouette.

Paired with slip-on trousers that boast a printed pattern, this outfit ensures both comfort and style, with an elasticated waistband for a snug fit. The accompanying voile dupatta, adorned with delicate embroidery and bordered with charming tassels, adds a captivating touch to the overall look. Perfect for daily occasions, this ready-to-wear set combines traditional aesthetics with modern sensibilities, making it a delightful addition to any wardrobe."
3,http://assets.myntassets.com/assets/images/14709966/2021/7/10/d2407657-1f04-4d13-9f52-9e134050489b1625905793495-Nayo-Women-Red-Ethnic-Motifs-Printed-Empire-Pure-Cotton-Kurt-1.jpg,"Elevate your daily wardrobe with this stunning ethnic ensemble. Crafted from pure cotton, the rich red Anarkali kurta features a round neck, three-quarter regular sleeves, and showcases an exquisite printed pattern with ethnic motifs. Its empire design styling and flared hemline add a touch of elegance, while the front slit enhances its graceful appeal. The matching printed trousers offer a comfortable, slip-on fit with an elasticated waistband, ensuring ease of wear. Completing the look is a cotton blend dupatta adorned with a matching printed border. This ready-to-wear outfit is perfect for adding a vibrant touch to your everyday style. Hand wash recommended."
4,http://assets.myntassets.com/assets/images/11056154/2019/12/5/30b0017d-7e72-4d40-9633-ef78d01719741575541717470-AHIKA-Women-Black--Green-Printed-Straight-Kurta-990157554171-1.jpg,"This elegant garment is a monochrome ethnic printed kurta, perfect for daily wear. It features a comfortable and chic round neck with three-quarter regular sleeves that provide ease of movement. The straight hemline and side slits add a touch of modern style. Tailored from pure cotton fabric, this calf-length kurta ensures a soft feel and breathability. The intricate ethnic motifs printed on it enhance its traditional appeal, making it a versatile piece for any day. Easy to maintain, it is machine washable and ready to wear."
5,http://assets.myntassets.com/assets/images/18704418/2022/6/11/507490f7-c8f9-492c-b3f8-c7e977d1af701654922515416SochWomenRedThreadWorkGeorgetteAnarkaliKurta1.jpg,"This exquisite Anarkali dress, perfect for daily wear, effortlessly merges traditional elegance with modern style. Crafted from pure georgette fabric, the garment showcases a rich earthy hue, accentuated by intricate thread work and a woven design pattern. It features a pleated design styling that adds a touch of sophistication and a flared hemline that gently flows to ankle length. The dress comes with a mandarin collar and long, regular sleeves, enhancing its refined look. Practicality meets style with the front slit detail, offering ease of movement. Ready to wear and easy to maintain with a simple hand wash, this dress epitomizes comfort and chicness for any occasion."
6,http://assets.myntassets.com/assets/images/14046594/2022/6/9/5fba9594-3301-4881-ba56-d56a44570e831654747998773LibasWomenNavyBluePureCottonFloralPrintKurtawithPalazzosDupa1.jpg,"This chic fusion ensemble features a printed Anarkali kurta and palazzo set, crafted from pure cotton for a comfortable and breathable fit. The kurta boasts large floral patterns and Gotta Patti ornamentation, adding a touch of elegance to its design. It also includes a keyhole neck and three-quarter regular sleeves with pleated, flared hemline styling for a sophisticated look. The palazzos complement with matching floral prints and a partially elasticated waistband for a perfect fit. Completing the ensemble is a beautifully printed cotton dupatta. Ideal for a sister's housewarming or any festive occasion, pair it with Mod Indo-Western danglers, a sparkly pair of mojris, and an elaborate choker neckpiece for a stunning look. Machine washable for easy care."
7,http://assets.myntassets.com/assets/images/14951330/2022/2/16/e6b90907-a613-45e1-9b2e-988caaba36581645010770505-Ahalyaa-Women-Beige-Floral-Printed-Regular-Gotta-Patti-Kurta-1.jpg,"Bring elegance to festive occasions with this exquisite ensemble. The outfit features a stunning poly crepe kurta adorned with a large floral print, highlighted by intricate gotta patti ornamentation. The kurta's round neck and long, regular sleeves flow gracefully to a calf-length hemline, completed with side slits for added comfort. Complementing the kurta are the printed poly crepe palazzos with a partially elasticated waistband, ensuring a comfortable fit. Adding a touch of sophistication, the net dupatta comes with a charming printed pattern and tassel border. Perfectly styled for festive celebrations and fun destination weddings, pair it with long studded danglers, a glittering minaudiere, and an exquisite open bangle for a truly memorable look. Machine washable for easy care, this ready-to-wear outfit embodies a chic blend of tradition and contemporary style."
8,http://assets.myntassets.com/assets/images/13791594/2022/2/14/5ea707f4-8491-4d1c-b520-86a1cff4c86e1644841891629-Anouk-Women-Yellow--White-Printed-Kurta-with-Palazzos-706164-1.jpg,"Elevate your daily wardrobe with this stylish mustard yellow kurta and palazzo set, crafted from pure cotton for utmost comfort. The knee-length kurta features a chic round neck and three-quarter regular sleeves, adorned with a large coverage floral print. Designed in a straight shape with side slits, it boasts a straight hemline for a flattering fit. Complementing the kurta, the printed palazzos add a touch of elegance with their partially elasticated waistband, ensuring ease of wear. Perfect for any casual occasion, this ready-to-wear ensemble seamlessly blends comfort with contemporary style. Machine washable for easy care, this outfit is a delightful addition to your everyday fashion collection."
9,http://assets.myntassets.com/assets/images/17048604/2022/2/4/11b842c5-d9d4-4fee-baa2-0972e3a673641643970773675KhushalKWomenGreenEthnicMotifsPrintedEmpireGottaPattiPureCot7.jpg,"This exquisite daily wear ensemble is a perfect blend of comfort and elegance. Featuring a printed A-line kurta made from pure cotton fabric, it boasts a flared hemline and a round neck, complemented by three-quarter regular sleeves adorned with intricate ethnic motifs. The kurta extends to a graceful calf length, creating a flowing silhouette. The palazzos, also crafted from pure cotton, have an elasticated waistband for a secure and comfortable slip-on fit. They continue the ethnic motif pattern with a printed design. 

Adding a pop of color, the silk chiffon dupatta comes with a solid design and tape border detailing, rounding off the traditional look with finesse. The gotta patti ornamentation adds a touch of sparkle, making this outfit suitable for daily wear as well as special occasions. This ready-to-wear set is machine washable, ensuring easy maintenance without compromising on style."
