id,img,caption
0,http://assets.myntassets.com/assets/images/6941495/2018/7/13/40a3229d-e58c-441c-998e-3c1ef9fe072a1531463327613-HSWFPR11728-1721531463327420-1.jpg,"Elevate your casual wardrobe with these dark-shaded, high-rise slim-fit jeans. Expertly crafted from a blend of cotton and elastane, these jeans offer a stretchable and comfortable fit perfect for everyday wear. The clean look with a light fade effect exudes a contemporary charm, while the button and zip closure ensures secure fastening. Featuring a regular length and designed with five functional pockets and belt loops on the waistband, these jeans combine practicality with style. The machine-washable fabric makes upkeep a breeze, making these jeans a versatile addition to any casual ensemble."
1,http://assets.myntassets.com/assets/images/8169305/2018/12/11/c19e8ef1-6b59-4378-acaf-50cf6f3089191544521048168-NA-1761544521047035-1.jpg,"Introducing your new favorite pair of jeans, where comfort meets style. These dark shade, mid-rise jeans are crafted from high-quality cotton making them effortlessly soft and stretchable for maximum comfort. Featuring a clean, distress-free look with no fading, these jeans offer a sleek and sophisticated style.

The skinny fit design with a cropped length provides a modern, flattering silhouette perfect for casual occasions. An added touch of functionality, they come with five pockets and a waistband equipped with belt loops, secured with a button and zip closure for a snug yet flexible fit. 

Easy to care for, these jeans are machine washable, ensuring they remain a staple in your wardrobe for years to come. Whether you're dressing up for a night out or keeping it casual for a day at the park, these versatile jeans have got you covered."
2,http://assets.myntassets.com/assets/images/8159185/2018/12/10/dc787139-9e10-4d67-8b91-9a1f1c5a276e1544427740277-StyleStone-Womens-Bootcut-Denim-Jeans-with-Pocket-detail-423-1.jpg,"Introducing our sleek and stylish flared jeans, designed for the fashion-forward individual who loves to make a statement without sacrificing comfort. These medium-shade jeans come with a heavy fade, offering a trendy, lived-in look that pairs perfectly with any casual outfit.

Crafted from a blend of Cotton and Elastane, these jeans provide stretchable comfort, ensuring a perfect fit that moves with you. The mid-rise waistband, complete with belt loops, and the classic button and zip closure add to the ease of wear.

Featuring four functional pockets, these jeans are as practical as they are stylish. The regular length and flared fit create a flattering silhouette, elongating your legs and providing a versatile addition to any wardrobe.

Whether you're heading out for a day of shopping or a casual evening with friends, these clean-look jeans are your go-to choice for comfort and style that stand out. Plus, with machine wash care, they are easy to maintain, making them a must-have staple in your denim collection."
3,http://assets.myntassets.com/assets/images/2611771/2018/3/2/11519981843695-na-6701519981843483-1.jpg,"Introducing our stylish Slim Fit Low-Rise Dark Denim Jeans, designed for a chic casual look. Crafted from a soft and stretchable blend of cotton and elastane, these jeans ensure a comfortable fit and ease of movement all day long. 

The jeans showcase a mildly distressed aesthetic with trendy ripped elements and attractive whiskers and chevron fade details, adding a touch of edginess to your outfit. The light fade effect complements its dark shade, making these jeans versatile for various casual occasions.

Featuring a regular length and a low-rise waist with a button and zip closure, these jeans are as functional as they are fashionable. The waistband comes with belt loops, offering the option to accessorize with your favorite belts. Five pockets provide ample space for carrying essentials.

Designed to meet contemporary style needs, these jeans promise a flattering silhouette with their slim fit cut. Maintain their pristine look with simple machine washing. Elevate your fashion game with these perfect additions to your casual wear collection!"
4,http://assets.myntassets.com/assets/images/6838014/2018/7/3/78f39e05-bcc5-41fa-b544-2f75428985a21530603016700-Check-list-lace-patch-jeans-8571530603016193-1.jpg,"Elevate your casual wardrobe with these stylish high-rise skinny-fit jeans, crafted from durable cotton with a medium shade and light fade for a modern yet timeless appeal. These jeans feature a unique blend of mildly distressed and ripped detailing, adding a touch of edginess to your look. The standout appliqué accents, including a chic gingham patch and elegant lace inserts, bring a sophisticated twist to the classic design. With five functional pockets and a waistband with belt loops, these jeans combine practicality with fashion. The non-stretchable fabric ensures a structured fit that maintains its shape. Ideal for casual outings, these jeans are easy to care for with a simple machine wash. Complete with a button and zip closure, they offer both style and comfort for every day."
5,http://assets.myntassets.com/assets/images/7474226/2018/9/25/1129f8d6-2a6e-4f73-8c63-5430eb01f52c1537871252223-Pass-It-on-Slim-Midrise-Jeans-9821537871252010-1.jpg,"Introducing the ultimate staple for your casual wardrobe: these dark, stretchable, skinny-fit jeans. Made from premium cotton fabric, these jeans are designed to keep you comfortable throughout the day. The mid-rise waistband, featuring belt loops, provides a flattering fit and extra support. With a button and zip closure for secure wear, these jeans feature a clean, no-fade look for timeless appeal. The regular length and classic design are complemented by four functional pockets, ensuring you always have space for your essentials. Easy to maintain with machine wash care, these versatile jeans are perfect for any casual occasion. Elevate your everyday style with these effortlessly chic jeans."
6,http://assets.myntassets.com/assets/images/7231611/2019/3/14/ec2d19d9-a972-4fcc-9556-9517e93f0c4e1552544197009-Miss-Chase-Women-Black-Slim-Fit-High-Rise-Clean-Look-Jeans-6-1.jpg,"Elevate your casual wardrobe with these sleek, dark-shaded slim-fit jeans. Made from comfortable, non-stretchable cotton and tailored for a high-rise fit, these jeans provide a clean and sophisticated look without any distress or fading. Featuring a classic button and zip closure, they seamlessly blend functionality with contemporary style. The bold red double side stripes add a striking element, making these jeans a standout piece for any casual occasion. Equipped with five pockets and belt loops, they offer practicality while maintaining a modern edge. Machine washable for easy care, they are the perfect addition to your everyday wear collection."
7,http://assets.myntassets.com/assets/images/15633224/2022/3/28/14a7fff8-7720-46b7-8516-9409ee338afe1648450671755-URBANIC-Women-Green-Straight-Fit-Stretchable-Jeans-349164845-1.jpg,"Introducing our chic and versatile cropped jeans, perfect for your everyday casual look. Crafted from high-quality cotton with a hint of stretch for ultimate comfort, these jeans promise a clean, stylish appearance. The dark shade and no-fade fabric maintain their look wash after wash, ensuring durability.

- **Closure:** Features a classic button and zip closure for ease of wear.
- **Fit:** Tailored in a flattering straight fit to provide a stylish silhouette.
- **Length:** These jeans are cropped, making them ideal for showing off your favorite footwear.
- **Waist Rise:** Mid-rise design with belt loops for added styling options.
- **Pockets:** Equipped with five functional pockets for practicality.
- **Occasion:** Perfect for casual outings, providing a relaxed yet polished look.

Keep your wardrobe fresh and modern with these essential straight-fit cropped jeans. Easy to care for, simply machine wash and they’re ready to wear. Embrace comfort and style effortlessly!"
8,http://assets.myntassets.com/assets/images/18542924/2022/6/1/de6c7724-78a8-48d0-a8e7-2c01e159e2111654076260559URBANICWomenBlackJeans1.jpg,"Introducing our versatile dark shade jeans, crafted from premium cotton for unbeatable comfort and durability. These mid-rise jeans feature a regular fit with a clean, no-fade look, designed to effortlessly complement your casual wardrobe.

Key features:
- **Fabric**: Soft, breathable, and durable cotton.
- **Fit**: Regular fit offering a classic silhouette.
- **Closure**: Secure button and zip fly.
- **Waistband**: Equipped with belt loops for added versatility.
- **Pockets**: Functional 5-pocket design for practicality.
- **Wash Care**: Easy maintenance with machine wash compatibility.

These non-stretchable jeans promise a timeless aesthetic suitable for everyday wear. Elevate your off-duty style with this essential piece, seamlessly pairing with your favorite tops and footwear."
9,http://assets.myntassets.com/assets/images/18332224/2022/5/20/c2bd4802-2fe8-4b30-b4c5-9627c512465f1653024025891FREAKINSWomenBlueStraightFitHigh-RiseLowDistressJeans1.jpg,"Elevate your casual wardrobe with these chic, high-rise jeans. Made from sturdy, non-stretchable cotton fabric, these jeans offer a straight fit silhouette that's both timeless and versatile. Featuring a dark shade with a subtle low distress detail and ripped accents, they bring an edge to your ensemble without overpowering it. The jeans include a traditional button and zip closure along with belt loops for added functionality. Designed with a regular length, they come equipped with five pockets providing ample space for essentials. Ideal for everyday wear, simply pair them with your favorite top for a effortlessly stylish look. Easy to care for, just machine wash and you're ready to go!"
10,http://assets.myntassets.com/assets/images/18394106/2022/5/24/5736912a-c719-42fc-b469-d94ac91f3aa41653364889792FameForeverbyLifestyleWomenBlackSkinnyFitSlashKneeJeans1.jpg,"Elevate your casual wardrobe with these chic and stylish black cropped pants. Designed with a clean, sophisticated look, these pants are constructed from high-quality cotton fabric that ensures comfort and durability. Featuring a mid-rise waistline with a classic button and zip closure, they provide a flattering silhouette and a perfect fit. The skinny fit enhances your legs, while the non-stretchable material keeps the shape intact throughout the day.

With a no-fade dark shade, these pants keep their polished appearance even after frequent washes. The absence of distress and effects adds to their versatility, making them ideal for various casual occasions. Practical and functional, they come with five pockets to carry your essentials with ease. These pants embody a perfect blend of style and functionality, perfect for those who appreciate elegant simplicity in their everyday wear.

Care for these pants is effortless as they are machine-washable. Whether paired with your favorite sneakers or dressed up with stylish shoes, these cropped pants are a must-have addition to your fashion-forward closet."
11,http://assets.myntassets.com/assets/images/12259048/2022/6/13/ce1266f2-51f5-49e3-8afc-06149f10f17e1655111493312-Levis-Women-Jeans-2881655111492715-1.jpg,"Introducing our chic Super Skinny Fit Jeans – the epitome of casual elegance and comfort. These high-rise jeans feature a clean, light fade for a timeless look, accentuated by their super skinny fit that hugs your curves in all the right places. Crafted from a blend of cotton and elastane, these jeans offer a comfortable stretch, ensuring they move with you throughout the day.

The regular length jeans are designed with the convenience of a button and zip closure, plus a waistband complete with belt loops. With five functional pockets, these jeans provide practicality without compromising on style. Perfect for everyday wear, they are easy to care for with machine wash.

These light-shade jeans are your go-to for a versatile wardrobe essential—pair them with your favorite tops for a seamlessly stylish appearance."
12,http://assets.myntassets.com/assets/images/15085864/2021/8/18/9ecc1186-3ce5-49a3-99da-75938b035f671629287844849ShortsURBANICWomenJeggingsURBANICWomenJeggingsURBANICWomenJe1.jpg,"Introducing our chic and trendy Women's Light Wash Jeans, perfect for a casual yet stylish look. Crafted from high-quality, durable cotton, these jeans offer a regular fit with a relaxed silhouette that flatters all body types. The mid-rise waistband, complete with belt loops, ensures a comfortable and secure fit. 

Featuring a lightly distressed design with a ripped effect on the leg, these jeans add a touch of edgy flair to your everyday wardrobe. The light wash finish offers a fresh and versatile look, easily paired with a wide array of tops and accessories. With a combination of button and zip closure, these jeans maintain a classic, timeless appeal.

Designed with practicality in mind, these jeans are equipped with five functional pockets, providing ample space for carrying your essentials. Despite their rugged style, they are machine washable, making them easy to care for and perfect for your everyday adventures.

Elevate your casual attire with these non-stretchable, mildly distressed jeans that effortlessly blend style and comfort for any laid-back occasion."
13,http://assets.myntassets.com/assets/images/15852664/2022/1/17/4a156fb7-e15f-4a20-8ec2-8d0e81d4d49e1642399377587-URBANIC-Women-Jeans-5071642399376764-1.jpg,"The image showcases a stylish casual outfit ideal for a relaxed day out. The ensemble features a high-rise, relaxed-fit, light-shade cropped denim with a clean, non-faded look and subtle ripped details. The cotton fabric ensures comfort, while the belt loops and four functional pockets add practical utility. The denim closes with a button and zip, and comes with a belt for added style. Paired with ankle-length beige boots and a chic red one-shoulder top, the outfit exudes effortless sophistication. This look is perfect for those seeking both comfort and fashion in a casual setting."
14,http://assets.myntassets.com/assets/images/17889900/2022/4/14/c2ff67a0-e325-41ab-afcf-bf8a0034ee481649933675033FREAKINSWomenOliveGreenSkinnyFitHigh-RiseSlashKneeJeans1.jpg,"This high-rise, cropped skinny fit jeans provide a contemporary silhouette perfect for casual wear. Made from durable cotton, this pair features a slash knee detail, adding a touch of edginess to its classic design. The jeans come in a stylish colored shade and include a button fly closure along with five functional pockets. Belt loops around the waistband offer an option for accessorizing, while the non-stretchable fabric ensures a structured fit. For ease of maintenance, the jeans are machine washable. Complete the look with a fitted top and heels for an effortlessly chic outfit."
15,http://assets.myntassets.com/assets/images/15634490/2021/10/3/a17911f5-9c0b-4d2c-b468-2c4245b8bf1d1633237953133URBANICWomenBlueWhitePrintedNightsuitJeansURBANICWomen1.jpg,"This casual and chic ensemble features a crisp white short-sleeve t-shirt paired with dark blue pinstripe pants. The t-shirt offers a relaxed fit, perfect for a laid-back day out. The pants are straight fit, non-stretchable, mid-rise with a clean look, and no fade, tailored in cotton for maximum comfort. Accessorized with a crossbody bag featuring a striking black and yellow rope strap, this outfit combines comfort and style effortlessly. The addition of white sneakers and a navy blue beret adds a touch of street-style elegance to the overall look, making it ideal for casual occasions."
16,http://assets.myntassets.com/assets/images/15633286/2021/10/4/8135e687-1ad2-43b4-933b-d80ba96a95cc1633340222664URBANICWomenBlueCottonWideLegSlashKneeJeansJeansURBANICWomen1.jpg,"Upgrade your casual wardrobe with these chic Skinny Fit Cropped Jeans. Crafted from high-quality cotton fabric for breathable comfort, these jeans offer a flattering mid-rise waist and a sleek, clean look with no distressing or fading. Featuring a button and zip closure, along with belt loops for added convenience, these non-stretchable jeans ensure a snug fit that maintains its shape. The dark shade lends a sophisticated touch, while the classic 5-pocket design adds practicality. Perfect for casual outings, these machine washable jeans are your go-to choice for stylish versatility."
17,http://assets.myntassets.com/assets/images/2145113/2018/8/14/05cc1712-004d-4b77-adcb-785706f6ceb71534235895953-Park-Avenue-Women-Black-Skinny-Fit-Mid-Rise-Clean-Look-Stretchable-Jeans-2971534235895757-1.jpg,"Introducing our Skinny Fit Dark Shade Jeans designed to enhance your casual wardrobe with a sleek and stylish touch. Made from a premium blend of cotton and elastane, these jeans offer a comfortable, stretchable fit that adapts to your body, ensuring all-day wearability. 

With a clean and undistressed look, these mid-rise jeans feature a regular length perfect for pairing with a variety of tops and shoes. The waistband comes with convenient belt loops and is secured with a button and zip closure, ensuring a snug fit. 

The classic 5-pocket design adds both functionality and style. You’ll appreciate the detail in its no-fade fabric, assuring that these jeans will retain their sophisticated look wash after wash. 

Ideal for casual occasions, these machine-washable jeans are as easy to care for as they are to wear. Elevate your everyday style with these versatile, dark shade skinny jeans."
18,http://assets.myntassets.com/assets/images/1639311/2016/12/7/11481112117684-Flying-Machine-Women-Jeans-8181481112117388-1.jpg,"Elevate your casual wardrobe with these super skinny fit jeans from the Twiggy collection. Designed to fit perfectly with body measurements in mind, these jeans offer a flattering silhouette, thanks to their mid-rise waistband complete with belt loops. Crafted from a blend of cotton and elastane, they promise comfort and a clean look with light fade effects. Featuring subtle whiskers and chevrons, these medium-shade jeans boast a stylish, modern appeal. 

Exceptionally versatile, they include a classic five-pocket design and secure button and zip closure. Machine washable for easy care, these non-stretchable jeans are ideal for casual occasions. Their regular length is perfect for pairing with your favorite tops and footwear, making them a must-have addition to your denim collection."
